field_name,semantic_path,page,input_type,pdf_field_type,alignment,multiline,read_only,font_size,max_length,rect_pdf_llx,rect_pdf_lly,rect_pdf_urx,rect_pdf_ury,tooltip,calculation
p1_employee_10_id,employees[9].employee_id,1,text,text,left,False,False,8,50,47.16,199.44,254.16,222.12,Employee 10 ID,
p1_employee_10_name,employees[9].employee_name,1,text,text,left,False,False,8,150,256.32,199.44,744.84,222.12,Employee 10 Name,
p1_employee_11_id,employees[10].employee_id,1,text,text,left,False,False,8,50,47.16,174.6,254.16,197.28,Employee 11 ID,
p1_employee_11_name,employees[10].employee_name,1,text,text,left,False,False,8,150,256.32,174.6,744.84,197.28,Employee 11 Name,
p1_employee_12_id,employees[11].employee_id,1,text,text,left,False,False,8,50,47.16,149.76,254.16,172.44,Employee 12 ID,
p1_employee_12_name,employees[11].employee_name,1,text,text,left,False,False,8,150,256.32,149.76,744.84,172.44,Employee 12 Name,
p1_employee_13_id,employees[12].employee_id,1,text,text,left,False,False,8,50,47.16,124.56,254.16,147.6,Employee 13 ID,
p1_employee_13_name,employees[12].employee_name,1,text,text,left,False,False,8,150,256.32,124.56,744.84,147.6,Employee 13 Name,
p1_employee_14_id,employees[13].employee_id,1,text,text,left,False,False,8,50,47.16,99.72,254.16,122.4,Employee 14 ID,
p1_employee_14_name,employees[13].employee_name,1,text,text,left,False,False,8,150,256.32,99.72,744.84,122.4,Employee 14 Name,
p2_labor_01_category,labor[0].category,2,text,text,center,False,False,7,30,50.76,419.76,105.12,442.44,Labor row 1: Category,
p2_labor_01_description,labor[0].description_of_work,2,text,text,left,True,False,6.5,500,107.28,419.76,381.24,442.44,Labor row 1: Description of Work Performed,
p2_labor_01_location,labor[0].work_location_gps,2,text,text,left,True,False,6.5,300,383.4,419.76,577.08,442.44,Labor row 1: Work Location / GPS Coordinates,
p2_labor_01_start_time,labor[0].start_time,2,text,text,center,False,False,7.5,8,579.24,419.76,625.68,442.44,Labor row 1: Start Time,
p2_labor_01_end_time,labor[0].end_time,2,text,text,center,False,False,7.5,8,627.84,419.76,674.28,442.44,Labor row 1: End Time,
p2_labor_01_labor_hours,labor[0].labor_hours,2,text,text,center,False,False,7.5,12,676.44,419.76,722.88,442.44,Labor row 1: Labor Hours,
p2_labor_01_event_related,labor[0].event_related,2,boolean_mark,text,center,False,False,10,1,725.04,419.76,757.44,442.44,Labor row 1: Event Related (enter X for yes),
p2_labor_02_category,labor[1].category,2,text,text,center,False,False,7,30,50.76,394.56,105.12,417.6,Labor row 2: Category,
p2_labor_02_description,labor[1].description_of_work,2,text,text,left,True,False,6.5,500,107.28,394.56,381.24,417.6,Labor row 2: Description of Work Performed,
p2_labor_02_location,labor[1].work_location_gps,2,text,text,left,True,False,6.5,300,383.4,394.56,577.08,417.6,Labor row 2: Work Location / GPS Coordinates,
p2_labor_02_start_time,labor[1].start_time,2,text,text,center,False,False,7.5,8,579.24,394.56,625.68,417.6,Labor row 2: Start Time,
p2_labor_02_end_time,labor[1].end_time,2,text,text,center,False,False,7.5,8,627.84,394.56,674.28,417.6,Labor row 2: End Time,
p2_labor_02_labor_hours,labor[1].labor_hours,2,text,text,center,False,False,7.5,12,676.44,394.56,722.88,417.6,Labor row 2: Labor Hours,
